TeamName,TeamID,Elite8,Final4,Final,Champ
Boise St,1129,1,0.214926723,0.109810564,0.054189816
Buffalo,1138,0,0.207141504,0.086084263,0.038313642
Colorado St,1161,1,0.266288596,0.118540253,0.056310508
Davidson,1172,0,0.249847447,0.109618908,0.051362272
Dayton,1173,0.3098691,0.126509567,0.056203464,0.022827376
Louisiana Tech,1256,1,0.166259993,0.064678163,0.025634594
Memphis,1272,0.6901309,0.407362059,0.254701006,0.149536207
Mississippi,1279,0,0.422264816,0.226834522,0.125155063
Mississippi St,1280,0.357075776,0.1550998,0.07237417,0.030949426
NC State,1301,1,0.276722452,0.127662428,0.062083036
Richmond,1350,1,0.248569922,0.13235591,0.065859623
SMU,1374,0,0.25120165,0.137379113,0.070517342
St Louis,1387,0.642924224,0.373423718,0.221857955,0.125295313
St Mary's CA,1388,0,0.24237146,0.105361485,0.045701239
Toledo,1405,0,0.22290656,0.112675505,0.052626237
WKU,1443,1,0.169103731,0.06386229,0.023638307
